糴	籴
類	类
秈	籼
糶	粜
糲	粝
粵	粤
糞	粪
糧	粮
糉	粽
糝	糁
餱	糇
餈	糍
係	系
繫	系
緊	紧
縶	絷
縕	緼
緪	縆
糹	纟
糾	纠
紆	纡
紅	红
紂	纣
繊	纤
縴	纤
紇	纥
約	约
級	级
紈	纨
纊	纩
紀	纪
紉	纫
緯	纬
紜	纭
紘	纮
純	纯
紕	纰
紗	纱
綱	纲
納	纳
紝	纴
縦	纵
綸	纶
紛	纷
紙	纸
紋	纹
紡	纺
紵	纻
紖	纼
紐	纽
鈕	纽
紓	纾
線	线
紺	绀
紲	绁
紱	绂
練	练
組	组
紳	绅
細	细
織	织
終	终
縐	绉
絆	绊
紼	绋
絀	绌
紹	绍
繹	绎
経	经
紿	绐
綁	绑
絨	绒
結	结
絝	绔
繞	绕
絰	绖
絎	绗
絵	绘
給	给
絢	绚
絳	绛
絡	络
絕	绝
絞	绞
統	统
綆	绠
綃	绡
絹	绢
繡	绣
綌	绤
綏	绥
絛	绦
継	继
綈	绨
績	绩
緒	绪
綾	绫
緓	绬
続	续
綺	绮
緋	绯
綽	绰
鞝	绱
緔	绱
緄	绲
縄	绳
維	维
綿	绵
綬	绶
繃	绷
綳	绷
綢	绸
綯	绹
綹	绺
綣	绻
綜	综
綻	绽
綰	绾
綠	绿
綴	缀
緇	缁
緙	缂
緗	缃
緘	缄
緬	缅
纜	缆
緹	缇
緲	缈
緝	缉
縕	缊
繢	缋
緦	缌
綞	缍
緞	缎
緶	缏
線	缐
緱	缑
縋	缒
緩	缓
締	缔
縷	缕
編	编
緡	缗
緣	缘
縉	缙
縛	缚
縟	缛
縝	缜
縫	缝
縗	缞
縞	缟
纏	缠
縭	缡
縊	缢
縑	缣
繽	缤
縹	缥
縵	缦
縲	缧
纓	缨
縮	缩
繆	缪
繅	缫
纈	缬
繚	缭
繕	缮
繒	缯
繮	缰
繾	缱
繰	缲
繯	缳
繳	缴
纘	缵
罌	罂
網	网
羅	罗
罰	罚
罷	罢
羆	罴
羈	羁
羥	羟
羨	羡
羣	群
翹	翘
翽	翙
翬	翚
耮	耢
耬	耧
聳	耸
恥	耻
聶	聂
聾	聋
職	职
聹	聍
聯	联
聵	聩
聰	聪
粛	肃
腸	肠
膚	肤
骯	肮
餚	肴
腎	肾
腫	肿
脹	胀
脅	胁
冑	胄
揹	背
勝	胜
鬍	胡
衚	胡
朧	胧
腖	胨
臚	胪
脛	胫
膠	胶
脈	脉
膾	脍
髒	脏
臓	脏
臍	脐
脳	脑
膿	脓
臠	脔
腳	脚
脫	脱
腡	脶
臉	脸
臘	腊
醃	腌
膕	腘
齶	腭
膩	腻
靦	腼
膃	腽
騰	腾
臏	膑
羶	膻
臢	臜
緻	致
輿	舆
捨	舎
艤	舣
艦	舰
艙	舱
艫	舻
艱	艰
豔	艳
艷	艳
芸	艺
節	节
羋	芈
薌	芗
蕪	芜
蘆	芦
菕	芲
蕓	芸
蓯	苁
葦	苇
藶	苈
莧	苋
萇	苌
蒼	苍
苧	苎
蘇	苏
甦	苏
囌	苏
薹	苔
檾	苘
薴	苧
蘋	苹
範	范
蘢	茏
蔦	茑
塋	茔
煢	茕
繭	茧
荊	荆
薦	荐
薘	荙
莢	荚
蕘	荛
蓽	荜
萴	荝
蕎	荞
薈	荟
薺	荠
蕩	荡
盪	荡
栄	荣
葷	荤
滎	荥
犖	荦
熒	荧
蕁	荨
藎	荩
蓀	荪
蔭	荫
廕	荫
蕒	荬
葒	荭
葤	荮
薬	药
葯	药
蒞	莅
萊	莱
蓮	莲
蒔	莳
萵	莴
薟	莶
獲	获
穫	获
蕕	莸
瑩	莹
鶯	莺
蓴	莼
蘀	萚
蘿	萝
蛍	萤
営	营
縈	萦
